∫œÕ¨–≈œ¢,,,,
∫œÕ¨±‡∫≈,, ∫œÕ¨Ω∂Ó ,,
ABCD202x-864,," 816,803.00 ",,
ABCD202x-089,," 672,636.00 ",,≤Ó“Ï
ABCD202x-318,," 939,975.00 ",,
ABCD202x-900,," 49,606.00 ",,
ABCD202x-035,," 495,324.00 ",,
ABCD202x-196,," 74,080.00 ",,
ABCD202x-315,," 885,130.00 ",,
ABCD202x-627,," 767,917.00 ",,
ABCD202x-089,," 36,481.00 ",,
ABCD202x-664,," 410,694.00 ",,
ABCD202x-124,," 392,696.00 ",,
ABCD202x-443,," 334,933.00 ",,≤Ó“Ï
ABCD202x-471,," 454,600.00 ",,≤Ó“Ï
ABCD202x-843,," 318,855.00 ",,≤Ó“Ï
ABCD202x-369,," 515,644.00 ",,≤Ó“Ï
ABCD202x-012,," 840,527.00 ",,≤Ó“Ï
ABCD202x-122,," 465,920.00 ",,≤Ó“Ï
ABCD202x-280,," 68,621.00 ",,≤Ó“Ï
ABCD202x-478,," 694,841.00 ",,≤Ó“Ï
ABCD202x-435,," 959,988.00 ",,≤Ó“Ï
ABCD202x-384,," 741,701.00 ",,≤Ó“Ï
ABCD202x-780,," 431,930.00 ",,≤Ó“Ï
ABCD202x-000,," 593,868.00 ",,≤Ó“Ï
ABCD202x-271,," 23,962.00 ",,≤Ó“Ï
ABCD202x-070,," 97,537.00 ",,≤Ó“Ï
ABCD202x-374,," 212,181.00 ",,≤Ó“Ï
ABCD202x-533,," 824,499.00 ",,≤Ó“Ï
ABCD202x-063,," 739,054.00 ",,≤Ó“Ï
ABCD202x-761,," 295,865.00 ",,≤Ó“Ï
ABCD202x-202,," 351,202.00 ",,≤Ó“Ï
ABCD202x-200,," 775,869.00 ",,≤Ó“Ï
ABCD202x-765,," 506,415.00 ",,≤Ó“Ï
ABCD202x-393,," 696,199.00 ",,≤Ó“Ï
ABCD202x-361,," 138,881.00 ",,≤Ó“Ï
ABCD202x-984,," 958,276.00 ",,≤Ó“Ï
ABCD202x-255,," 506,954.00 ",,≤Ó“Ï
ABCD202x-620,," 483,778.00 ",,≤Ó“Ï
ABCD202x-487,," 182,233.00 ",,≤Ó“Ï
ABCD202x-541,," 944,014.00 ",,≤Ó“Ï
ABCD202x-898,," 90,019.00 ",,≤Ó“Ï
ABCD202x-493,," 645,257.00 ",,≤Ó“Ï
ABCD202x-770,," 669,945.00 ",,≤Ó“Ï
ABCD202x-667,," 139,963.00 ",,≤Ó“Ï
ABCD202x-098,," 55,733.00 ",,≤Ó“Ï
ABCD202x-814,," 29,350.00 ",,≤Ó“Ï
ABCD202x-908,," 396,782.00 ",,≤Ó“Ï
ABCD202x-308,," 679,259.00 ",,≤Ó“Ï
ABCD202x-694,," 187,159.00 ",,≤Ó“Ï
ABCD202x-401,," 704,504.00 ",,≤Ó“Ï
ABCD202x-054,," 818,737.00 ",,≤Ó“Ï
ABCD202x-180,," 118,438.00 ",,≤Ó“Ï
ABCD202x-059,," 851,356.00 ",,≤Ó“Ï
ABCD202x-284,," 877,256.00 ",,≤Ó“Ï
ABCD202x-176,," 443,065.00 ",,≤Ó“Ï
ABCD202x-731,," 819,047.00 ",,≤Ó“Ï
ABCD202x-877,," 91,831.00 ",,≤Ó“Ï
ABCD202x-173,," 851,232.00 ",,≤Ó“Ï
ABCD202x-139,," 577,047.00 ",,≤Ó“Ï
ABCD202x-571,," 330,041.00 ",,≤Ó“Ï
ABCD202x-478,," 902,961.00 ",,≤Ó“Ï
ABCD202x-410,," 477,226.00 ",,≤Ó“Ï
ABCD202x-733,," 496,284.00 ",,≤Ó“Ï
ABCD202x-851,," 781,502.00 ",,≤Ó“Ï
ABCD202x-472,," 197,044.00 ",,≤Ó“Ï
ABCD202x-182,," 710,893.00 ",,≤Ó“Ï
ABCD202x-213,," 179,637.00 ",,≤Ó“Ï
